,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,vr_max,Eb_sum
1806,Li2BeSiO4,Li2BeSiO4_Va_O4,5.9582,-2.9697805114583327,1.5400985073205262,2.309044243359462,2.9164370737281025,2,269,-2.356834901289411,10.837054606072728
1807,Li2CaGeO4,Li2CaGeO4_Va_O1,4.031000000000001,-2.6042605814583326,1.4902274727239526,1.8246241203870817,1.5948667872004472,2,255,-1.502819088333178,8.91954089238932
1808,Li2GeO3,Li2GeO3_Va_O1,3.4576,-2.322119386944445,1.7564349653506546,2.991069972713284,0.5305495481900779,2,79,-1.502819088333178,10.46412568561117
1809,Li2GeO3,Li2GeO3_Va_O2,3.4576,-2.322119386944445,1.3652047087203154,1.5468594223209264,2.0582127658119433,2,95,-1.502819088333178,8.390753599290791
1810,Li2MgGeO4,Li2MgGeO4_Va_O1,3.7342,-2.5282078089583333,1.5074619169487726,1.6489551223037804,2.550856753338458,2,269,-1.502819088333178,8.47340818268605
1811,Li2MgGeO4,Li2MgGeO4_Va_O2,3.7342,-2.5282078089583333,1.4572596274391074,1.6992928168756496,2.8699542862404823,2,377,-1.502819088333178,8.474798696644822
1812,Li2MgGeO4,Li2MgGeO4_Va_O3,3.7342,-2.5282078089583333,1.5319867475206712,1.6171333775852283,2.041976113049459,2,431,-1.502819088333178,8.361451090821134
1813,Li2O,Li2O_Va_O1,4.8772,-2.061597913888889,0.98,1.168204519962669,4.776629150980302,2,95,-3.1005489752967774,12.056796778720049
1814,Li2PbO3,Li2PbO3_Va_O1,1.0986000000000002,-1.7885059302777786,1.4600216762273797,1.5874226460273682,-0.0731489430461125,2,287,-0.2712847561180753,8.983525225104017
1815,Li2PbO3,Li2PbO3_Va_O2,1.0986000000000002,-1.7885059302777786,1.4761435334040791,1.7061214971194472,-0.4529327161937169,2,431,-0.2712847561180753,8.72082121539665
1816,Li2Si2O5,Li2Si2O5_Va_O1,5.181900000000001,-3.0159132185185182,1.4450636453115957,1.6605604586914726,3.61192437563254,2,323,-2.356834901289411,9.165583557557124
1817,Li2Si2O5,Li2Si2O5_Va_O2,5.181900000000001,-3.0159132185185182,2.5468374981907833,3.348491891953108,2.8428148470641306,2,233,-2.356834901289411,9.635406577802385
1818,Li2SiO3,Li2SiO3_Va_O1,5.1448,-2.882895587777778,1.7543676249109714,3.765117542940948,1.749093315504266,2,79,-2.356834901289411,12.187297177536408
